year,word,score
2013,금융상품,13.47295634535794
2013,공효진,13.418246845463655
2013,나눔,13.412954835162274
2013,올해,13.372768140124869
2013,증가,13.351654678506117
2013,마켓레이더,13.349752517948534
2013,사랑,13.279138819175671
2013,사업,13.22965601258679
2013,가지,13.129932871430247
2013,제호,13.061724988819735
2013,저출산,13.058928155848763
2013,남편,12.995805531695922
2013,봉사활동,12.978559331419294
2013,이지아,12.965830529082321
2013,연령,12.954966885532446
2013,증권사,12.933844861264292
2013,지금,12.896797851145847
2013,오피스텔,12.873960005412957
2013,분수대,12.741113390332124
2013,억만원,12.73985673699703
2013,월부터,12.720352612896242
2013,국내,12.709959253422696
2013,통감,12.690276697007144
2013,사랑의,12.681704663331493
2013,은퇴설계,12.67533345340981
2013,위험,12.647200778637359
2013,집중,12.592657346793846
