Topic Number,제목
12,매디플란트치과 다양한 시술 경험과 노하우를 겸비한 임플란트 재수술로 화제
12,부산시 법원 제동에도 원전 생수 장애인 독거노인에 대거 제공
12,전문문 대통령 소상공인자영업자 최대 200만원 13세 통신비 지원 결정
12,중외학술복지재단 장애인의 달 맞아 독거노인들과 봄 나들이 나서
13,2017 대한민국 고객만족 브랜드 경영대상 세계로tv 전국순회 무료 주식강연회 가치투자의 중요성 설파
13,내돈 어디가일자리에 돈 58만원 취업성공 패키지 취업자 과반은 200도 못 받아
13,딸 낳고 싶어 비법 따랐다 딸 바보 열풍 그뒤엔 노년 걱정
13,의대 교수자리 마다하고 평생 노숙인 진료 최영아 센터장에 성천상
13,lh 변창흠 사장 임원 임금 30반납 코로나19 극복 동참
13,성북 청년소상공인취약계층 잇는 정책 눈길 반찬 과일 배달로 일거양득
13,adt캡스 제2회 대한민국 범죄예방 대상 기업사회공헌부문 2년 연속 수상
13,며칠째 가셨지 문 여니 독거노인 구한 21년차 집배원 촉
13,독거노인 돕던 60대 여성 3명에 새 삶 선물하고 떠나
13,sk그룹 취약층엔 따뜻한 한끼 영세 음식점엔 매출 지원 일석이조
14,범죄자 포승줄 묶인 모습 가려주는 조끼 보급 수용자 인권 보호
14,장애노인 집에 10년 넘게 무단거주한 60대 조카 행세에 폭행까지
14,lg전자 노조 한가위 맞아 어려운 이웃에 부식박스 전달
14,서울 병원 1682곳 약국 3034곳 연휴에도 문 열어요
14,서울경제tv 한화건설 올해 사회공헌 8000시간 도서관 70호점 개관
14,lg전자 노조 한가위 맞아 독거노인 조손가정에 사랑의 부식박스 전달
14,중대본 누적확진 2200만명 확진 30만명 대응 가능토록 매진상보
14,젊은 초로기 치매 치료 사회 참여로 극복
14,내달 6일부터 6개월간 휘발유 리터당 123원 내린다
14,고려대 mba봉사단 강원 산불피해 주민들에게 성금 전달
15,서울경찰 1년 빛과 그림자 시민 곁에 다가온 경찰 우리동네 밤길은 반려견 순찰대가 지켜요
15,연말에 바라본 한국인의 삶 빈곤 불평등 질병 미세먼지 부정적 지표 죄다 늘었다
15,역경의 열매 호용한 14 독거노인에 우유배달 건강 지키고 고독사도 예방
15,김건희 여사 숨 가쁜 4월 보름간 11개 일정 소화 광폭행보용산실록
15,굿피플 생필품 담은 사랑의 희망박스 지원 국외 12개국 취약계층에도 전달
15,굿피플 의사회 일시보호시설 노숙인과 쪽방촌 독거노인 위해 굿피플 의료봉사 진행
15,sk이노 폐플라스틱 줍고 사회적 가치 창출까지 산해진미 플로깅 진행
15,당산동 100억원 전세사기 대출 담당자도 사기 방조 혐의
15,유통업체들 코로나19로 어려움 겪고 있는 소외계층에 온정 손길
15,신한은행 매년 1억씩 기부해 여성 한부모 취업 돕는다
16,엎친 덮친 격 코로나19 강타 스페인 올해 최악의 폭염 예고
16,저소득층 대상 암 치료비 무상 지원 인천서 첫 시행
16,서울시 침수 사태 2달만에 반지하 대책 중간보고 이주 되나집슐랭
16,아직 살만한 세상 빈병 팔았어요 지구대 앞 22만6천원의 정체
16,아는 사람만 갈 있는 비밀스러운 빵집 성북동 빵공장 탐방기
16,훔칠 돈이 따로 있지 잇따르는 모금함 절도 흉흉한 인심
16,ibk캐피탈 저소득 가정 소아암 환우 치료비 6000만원 지원
16,이스라엘이 1위 타이틀 뺏겼다 백신 접종률 뒤집은 나라
16,21년차 우체국 집배원의 촉 쓰러진 80대 독거노인 구했다
16,독거노인 찾은 김정숙 여사 치매 앓는 어머니 생각나네요
17,무브 투 헤븐 이제훈 작품 메시지가 최우선 좋은 작품으로 기억되고파 인터뷰
17,유승민 부양의무자 기준 폐지 할 여성가족부도 폐지 해야 복지정책 공약 발표
17,ai가 안부 전화 진료내역 대신 기록 네이버의 실험 병원 현장도 바꾼다
17,온라인 캠페인연탄은행과 나누go 따뜻하go 즐겁go 3 행정안전부 장관과 직원도 연탄봉사
17,인천 아라뱃길서 80대 독거노인 숨진 채 발견 신원확인할 소지품 없어
17,인천 굴포천서 80대 독거노인 숨진 채 발견 경찰 수사
17,가족 손에 달린 품위 있는 죽음 손질 필요한 문제점들
17,adt캡스 보건복지부 응급 안전 안심서비스 구축 사업 참여
17,자살한 7만명 심리 부검 국가 차원 대책 세운다
17,늘어나는 연명의료 중단 가족 불화 불씨 되기도
18,끼니야 반갑다 김태선 대표 취약계층 건강한 여름나기를 위해 선풍기 20대 기탁
18,에스넷시스템 독거노인 돕기 위한 나눔바자회 개최 판매 수익금 전액 기부
18,아직 살만한 세상 된장국에 언 몸 녹이시길 마을의 밑반찬 선행
18,파라다이스그룹 추석맞아 서울 중구 인천 영종도 독거노인 효드림 봉사활동 눈길
18,확진자 폭증에 오늘 5만명대 가능성 내일부터 새 재택치료 체계 가동
18,lg전자 취약층 지원 기관에 무선청소기 기증 폐배터리로 기금 마련
18,컴퓨터 가게 차리려 천사 성금 훔쳤다 진짜 이유 따로
18,2017 청백봉사상 야간학교 교사 독거노인 돌보기  마음을 보듬은 공무원들
18,77세 독거노인 갇힌 욕실서 물 먹고 버텼다 보름만에 구조
18,정부 3t 전략 종료하고 고위험군에 집중 관리 사각 우려
19,위기가구 닫힌 문 여는 통반장들 세 모녀 비극 막을 희망 보인다 서울신문 보도 후
19,80대 옛 연인 살해 뒤 숨긴 60대 집안 움직임 센서에 걸렸다
19,한국회사보다 낫네 매출 줄어도 기부 늘려 착한 외국계 순위 매겨보니
19,클린리더스 목소리 나누고 소외층 보듬고 kb증권 몸에 밴 사회공헌
19,뉴스통 시운전 기관차 추돌사고 7명 사상240번 버스 논란은 과장
19,대우재단 제2회 김우중 의료인상에 이정옥 소장 이효민 전문의 선정
19,힘든 때일수록 나눠야죠코로나 위기에도 멈추지 않는 도시락 나눔 봉사
19,이나영 화보 마스크 속 소멸 직전 소두 인증
19,ibk기업은행 행복나눔재단 출연 중기 직원 자녀 소외층 지원
19,벌써 8년째 박해진 사자팀과 연탄 봉사활동 온기 나눴다
20,사건 x파일  독거노인 덮친 보이스피싱범 겁 없이 경찰관 아내에게 속는 척 지하철역 유인 검거 피해자 고통 실감하는 계기
20,아내의 맛 측 함소원 신종 코로나 확산 방지 위해 마스크 1만 개 기부
20,단기 부양 카드 유류세 15 낮추고 공공일자리 5만 9천 개 만든다
20,동네 어르신들 집 찾아 가위손 서비스 의미있는 나눔 기뻐하는 모습에 보람
20,아내의 맛 함소원 신종 코로나 확산 방지 마스크 1만 개 기부
20,전철 안전요원 어르신 도시락 배달 서울 약자와의 동행 7147명이 뛴다
20,넉달간 매주 찾아 마음의 문 두드렸다 루게릭병 환자 살린 이들
20,세븐일레븐 서울 쪽방촌 5곳에 음료 6000개 긴급 지원 9년째 나눔봉사
20,동작 폭우피해 복구 위해 모인 손길 취약가구 벽지 장판 교체
20,향 피우다 실수로40년 된 대만 주상복합 화재에 최소 46명 사망
21,다시 희망의 교회로 주변 도움으로 일손 식재료 부족함 없어 무료 밥집 매일이 기적
21,ann 뉴스 포커스 2020건축의날 건축인의 화합과 단결 도모 미래 건축 비전 제시
21,팬데믹은 약한 곳부터 무너뜨려 새해 도시락 확보 사활 건 sk
21,유정복 인천시장 따뜻한 인천 4대 약자 친화도시 조성 애인정책 발표
21,아시아초대석백남종 분당서울대병원장 의료 패러다임 변화하는 시기 최고의 미래병원 만들
21,상생경영 kt 소외계층 고독사 없게 iot led 전등 설치
21,코로나19 마스크 만드는 난민들 한국에서 받은 도움 어려울 갚으려
21,시각장애인 22만명이 들은 목소리 책읽어주는 여자 성우 김시중씨
21,하나투어 연말 캠페인 통해 이웃에게 나눔의 손길 건네
21,국민 76 안락사 합법화 찬성 5년새 찬성률 15배로
22,단독두 달마다 위기 의심가구 30씩 새롭게 나와 위기가구 발굴 동행 취재비수급 빈곤리포트5회
22,병원 직원 얼굴에 떡볶이 던지고 행패 부린 60대 독거노인
22,제설 인력만 6천 명 투입 강원 도로 통행 재개
22,경찰 밀양 세종병원 환자 장사한 사무장 병원으로 잠정 결론
22,단독 4학년 때부터 16년간 성폭력 독거노인 돌보는 선교사의 얼굴
22,국민의 76 안락사 의사 조력 자살 입법화에 찬성
22,서울경제tv 금융권 연말 기부 벗어나 이색 사회공헌 눈길
22,금융의 힘으로 세상을 이롭게 사회 취약계층 전방위 지원
22,맹자의 가르침은 사는 사회 현대 정치에도 유효한 해법
22,맵퍼스 서울 중계동 백사마을 연탄 4000장 나눔 봉사
23,구리시 긴급 상황 신고용 실내 건물 번호판 제작 독거노인 배부
23,경찰 지구대 앞에 마스크 225장 놓고 황급히 자리 뜬 50대
23,올 여름 국내 첫 온열질환 사망자 나와 폭염 시엔 이렇게
23,봉제 노동자 근로자 인정 성동구 전국 최초 봉제 근로자 경력인증
23,폭염 사망 늘어난다 낮시간대 꼭 염두에 둬야 할 3가지 건강수칙
23,폭우 속 빗물 섞인 밥 먹는 노숙인 보고 일생 바치기로
23,롯데홈쇼핑 소외계층 위한 사랑의 김장 나눔 봉사 지역 사회공헌활동 지속
23,민간 제설 지원 나간 누리꾼 강제 징용이나 다름없다 비판
23,윤계상 소아암 환자 독거 노인 위해 2억 기부선한 영향력
23,본격적인 겨울 시작 65세 이상은 한랭 질환 각별히 주의
24,아프리카 오지부터 국내 무의촌까지 의료 손길 필요한 곳 찾아다니며 봉사
24,43년 간 팥죽집 운영하며 12억 기부 서울시 봉사상 대상
24,기업 특집 롯데 3000명 독거노인 웃음 찾아준 기쁨 상자
24,이영애 기부 얼굴 만큼 마음도 아름다워 계속되는 선행공식m이슈
24,11년째 1000원 투잡 뛰며 유언 지킨 천원 식당
24,최태원 sk회장 작년 사회공헌 언급 가장 많은 총수
24,극단선택 위험 독거노인 돌봄 효과 6년간 자살 0
24,70대 독거노인 새해 첫날 연탄 아궁이에 쓰러져 숨져
24,200자 읽기 늙은 어머니 돌보며 느낀 쓴 일기
24,코로나 겪었더니 성인 열 중 고혈압  환자수가  추월
25,아무것도 아닌 얘기 들어줄 사람 있을까요숨어버린 사람들 3 은둔형 외톨이 우리도 말하고 싶어요
25,신성장 특집현대건설 현대엔지니어링  신입사원 때부터 이웃나눔 통한 사회적 책임 실천
25,사건x파일경찰 아내도 반은 경찰 보이스피싱범 잡은 수사관 아내의 기지
25,투자가 미래다 ibk기업은행 대학생 저소득 아동 연결 희망 멘토링
25,인천 취약 계층 영구 임대 주택 5천 가구 건설
25,이르면 18일부터 실내 마스크 외 모든 방역 조치 푼다
25,불났는데 소음 민원 걱정해 화재경보기 끈 경비원 2심서 무죄
