Topic Number,제목
6,집중취재 위드 코로나 시작 전북은
7,딸에게 죄스럽고 제가 짓 역겨워 2심도 사형 구형된 정인이 양모 흐느껴
7,10살 친손녀 성폭행도 모자라 촬영까지 할아버지 평범한 사회인 되길 기도
7,오늘은 어디서 보호아동 홈리스 되다스무살 청년은 상가 화장실에서 잠을 청했다
7,용화여고 미투 전직 교사 2심도 실형 잘못 인정 안해
7,정인이 양모 내가 한짓 역겹고 엽기적  2심도 사형 구형
7,억지로 김밥 먹이다 장애인 질식사 복지사측 식사 지원 했을뿐
7,보육교사가 여아에 유사성행위 시키고 성추행 징역 10년 확정
7,스쿨미투 용화여고 전직 교사 징역 1년 6월 확정
7,성적 욕구 채우려 화장실서 음란행위 30대 못으로 긁기도
7,14세와 주종 맺고 알몸통화 강요 초범 집행유예
8,거부하는데도 음식 억지로 쑤셔 넣었다 숨진 장애인 cctv 보니
8,입금자명에 내가 미안해 송금 스토킹 여친 폭행 몰카 협박까지
8,90대 노인 성폭행 미수범 13년전 여중생 성폭행 그놈
8,90대 노인 강간미수범 13년 미제사건 여중생 성폭행 그놈
8,코로나19 감염 경로 조사중 324 최고치 일상감염 지속
8,실력 키웠으면 테니스 꿈나무에 라켓 휘두른 30대 금메달리스트
8,노인 성폭행 미수범 13년전 여중생 성폭행 범인이었다
8,아동복지시설서 사회 첫발 나서면 1000만원광주시 적극 지원키로
8,장애인이 살기좋은 광주공동체 무장애 동선 확충
8,나흘째 교전에 폴란드 난민촌 채비
9,엄마한테 말하면 다 죽인다 7년간 미성년 의붓딸 성폭행한 인면수심 40대
9,방에 누워있는 10대 의붓딸에게 다가가 입맞춤 요구 거부하자 성폭행한 40대
9,갈 곳 없는 노숙인 확진돼도 거리로 쪽방촌서 콜록 했다가 쫓겨나기도
9,엄마한테 말하면 죽인다 9살 의붓딸 7년간 성폭행한 40대
9,모욕주고 학대하고 장애인 인권 사각지대 표준사업장
9,사생활 독립 얻었지만 이동 주거는 고립
9,경남 신규 확진 145명 사망 3명 복지센터 목욕탕 학교 경로당발 지속종합
9,손녀 4년간 성폭행 촬영 소지까지 70대 조부 죽을 죄를 지었다
9,갈 곳 없는 환자는 복지시설 연결해줘요
9,휠체어 유모차 소독 손쉽게
10,사무실 자문 제공에 판로 지원까지 스타트업 육성 키다리 아저씨
10,만취 무인텔 데려가 성폭행 하고 동영상까지 식당 동료들 징역형
10,성신여대 봉사단 복지시설 푸드마켓에 직접 만든 휴지 기부
10,허위 실습확인서로 사회복지사 자격 취득 도의원 항소 기각
10,재택 김대리 사무실 돌아온다 직장가 다시 회식출장 북적
10,아낄 데라곤 식비뿐 기자들이 들여다본 빈자의 식탁
10,스칸디휴즈 아산시에 쌀 쌀 성금 기탁
10,입양도 힘들어요 두번 외면받는 베이비박스 아기들
10,아베노마스크 원하는 사람 없어보관비만 62억원
10,부경대 사회공헌봉사단 18년째 방학마다 집수리
11,건설노조원 한명이 2억원 월례비 챙겨 채용강요하면 협박 공갈죄 적용
11,창고에 쌓인 아베마스크 1180억원어치 정부 재해 대책용으로 비축
11,남해 빵식이 아재 28년 미용 봉사자 lg 의인상
11,lg의인상에 남해 빵식이 아재 김쌍식씨 5명 선정
11,법무부 사회봉사대상자 수해 피해 복구 작업에 투입
11,어려운 끼 나눠 사랑을 전합니다
11,베이징 다이어리 중국식 위드코로나는 이렇습니다
11,서울 서초구 취약계층 이사 1회 무료로 지원한다
11,양천구 스마트 지킴이 세이프 깔창 치매환자 실종 골든타임 확보
11,인천 교회 오미크론 확진자 3명 추가인근 마을 선별진료소 설치
12,꿔준 돈 갚아 결별 연인 요구에 불법 촬영물 유포 협박
12,강제 식사 장애인 숨진 센터 해당 구청 압수수색
12,서울 코로나 2032명 신규 확진 5일 연속 2000명대
12,서울 서울시 보람일자리 343명 모집40 67세 차상위층
12,논썰 한동훈의 아이비캐슬  부적격 이유 조목조목 따져봤다
12,단독 피 흘리며 5시간 방치된 두살배기 아이는 지금도 밥을 먹지 못합니다
12,금호석화 장애 이웃에게 맞춤형 휠체어 기증
12,금호석화 복지시설에 맞춤형 휠체어 기증
12,부산 145명 확진 7명 숨져
12,장애인 질식사 수사받는데 업무 복귀
13,여가부 양육비 불이행자 형사처벌 강화 추진 첫 5개년 계획
13,양부 학대로 의식 잃은 입양아 회초리로 시작해 손찌검으로
13,처음부터 그럴 생각은 아냐 강의실서 초등학생 성추행한 교수
13,한부모가족에 아동양육비 지원 늘리고 영구임대 주택 우선공급
13,금호석유화학 장애인 복지시설에 휴그린 창호 지원
13,태권도진흥재단 태권도 소재 영화 제작 지원
13,인권위 서울시 노숙인시설 코로나19 대응 미흡
13,20만원 주고 여중생 성매매한 공중보건의 집행유예
13,한부모가족 양육비 지원 확대 양육비 안주면 운전면허 정지
13,박사방범죄집단 인정됐지만 조주빈은 3년 감형
14,4000원 이발소 없앤  부당해고 외친 이발사 졌다 소송 전말 그법알
14,성범죄자 취업제한 기관 늘어난다 신상정보 별도 고지 추가도
14,단독정부에 백기 든 네이버 임직원에 임금체불 87억 지급했다
14,봉사 손길 1년 넘게 끊겨 복지시설 시름
14,기업 배달의민족 파리바게뜨 복지시설 아동에 선물 전달
14,코로나가 바꾼 고용시장 취업자 비중 사무직 배달원
14,50년 감쪽같이 속였다 영국 국민mc의 얼굴몰아보기 연구소
14,전 재산 기부 김밥 할머니가 김정숙 여사 손 잡고 눈물 보인 까닭은
14,한화갤러리아 강화도서 장애인 복지시설 봉사
14,관악구 여름철 무더위 속 코로나19 대책 세워
15,청송군 장애인 건강관리 능력 강화  어울림 운동교실 운영
15,미신고 시설서 폭행당해 숨진 장애인 법원 지자체도 배상책임
15,조선업 하청 근로자 연봉 원청의 5070 수준정부 대책은
15,sns 범죄영화 조연배우의 성관계 몰카 여친은 뿌렸나
15,폭행 성관계 몰카에 유치장서 협박편지까지 집행유예
15,경남도 필수노동자 지원대책 밑그림 나왔다
15,현대그룹1나눔재단 장애인 복지시설 36억 지원
15,강서구 어르신 빨간불 들어오면 환기하세요
15,응급실 실려간 와중에도 구조사 추행한 60대 벌금 1000만원 선고에 항소
15,재유행 대비 가족 청소년 여성 복지시설 방역 점검 소통 강화
16,서울시 박원순 전 시장의 서울혁신파크 도농상생급식 감사 51건 시정조치
16,11세 채팅와 성관계 19세인 줄 발뺌 뒤집은 결정적 증거
16,서울시 6세 기초수급자 차상위계층 전원 문화누리카드 지급
16,울면서 달아나려는 계속 끌어다놓고 강제로 음식 먹이더라
16,엄마아빠도 선생님도 무서워요 일상에 스며든 아동학대
16,수원 세 모녀 금융 연체 1000만원 넘어 되레 위기정보 잡혔다
16,16살과 조건만남 30대 내 자신에 화나 뒤늦게 반성
16,시흥시 스마트허브여성경영자협의회 간담회 통해 현장 목소리 청취
16,코로나19 취약계층 힘내세요 서울시 wk뉴딜국민그룹 마스크 1000만장 전달
16,김태우 강서구청장 내부 제보 많아져야 공직사회 투명해져
17,정부 오늘 실내마스크 해제 논의 시작  설 연휴 전 결정 가능성도
17,대면수업 하자던 학원 대표 수강생 10명 성폭행 징역 4년
17,전장연 면담 앞둔 오세훈 시장 장애인 복지시설 방문
17,뉴스 열어보기 무너진 태양광 산 방치 장마가 무섭다
17,서울 112명 신규 확진 10명 중 4명 무증상 확진
17,서울 788명 신규 확진 21일 만에 최다
17,미성년자과 성관계 합의 주장 왕기춘 징역 6년
17,오세훈 시장 서울 사랑의열매 명예회장 14년만에 추대
17,삼성전자 위드코로나 발맞춰 방역조치 완화 회식도 허용
17,생생경제 코로나19 가족돌봄비용 긴급지원 시작 누가 받나
18,장애 성추행 시설장 고발한 직원 돌아온 건 보복 해고 해고 무효
18,안전장치 없이 23층 실외기 제거 작업 시켜  장병 폭로
18,위중증 환자 460명 최고치 방역지표 예상보다 빠르게 악화
18,3년만에 대면 콘서트 개최 장애인들과 음악으로 하나됐다
18,승강기공단서울시각장애인회 사고 대응 스티커 부착 사업 수행
18,ey한영 7년 근속 시 유급휴가 2주
18,두나무 포레스트전 출품 작품 nft로 발행
18,사고 경고에 꿈쩍 않던 서울시 사고 나자 일방적 노선 우회 명령
18,한마음재단 소외계층 환자 대상 수술비 지원
18,조주빈은 판사 응시 강훈은 고개 푹강제추행 1심서 징역형 추가
19,출소 3개월 만에 70대 여성 집 담벼락 넘어 강간 시도했다 실패한 50대 징역 5년
19,미성년 연예인 얼굴 음란물 합성해 수천개 유포 8000만원 챙긴 30대 실형
19,처음 만난 여성 성폭행 경찰관 1심서 징역 1년 6개월
19,성관계 불법촬영 골프리조트 회장 아들 1심서 징역 2년
19,랜덤채팅 앱에서 만난 초등생과 성관계한 20대 남성 집행유예
19,6살 손녀 친구 5년간 성착취 나쁜 이웃집 할아버지
19,층간소음 보복한다고 옥상서 바닥 친 70대 징역형 집행유예
19,박사방 조주빈 공범 남경읍 1심서 징역 17년
19,성관계 불법촬영 골프리조트 회장 아들 징역 2년
19,노예라며 성착취 박사방 공범 남경읍 징역 15년형
20,모델 구해요 쇼핑몰 ceo인 척 10대 사진 받아 성 착취물 제작한 30대징역 10년
20,대법원 박사방 조주빈 2인자 부따 강훈 징역 15년 원심 확정
20,얼굴의 목사 10대 신도 3명 길들여 성폭행한 30대 징역 5년
20,영하 추위 호숫가에 신생아 버린 20대 엄마에 징역 5년 구형
20,박사방 조주빈 2인자 부따 강훈 대법서 징역 15년 확정
20,빚 없이 지은 450억짜리 신사옥 시총 1500억 회사의 자부심
20,50년 넘게 김밥 팔아 모은 6억 남한산성 할매는 기부했을까
20,10대 여신도들 그루밍 성폭행한 인천 목사 징역 5년
20,조주빈 공범 부따 강훈 1심 징역 15년
20,박사방 조주빈 공범 남경읍 징역 15년 확정
21,오후 6시 전국 3335명 확진 전날 동시간보다 148명 줄어
21,울산시 장애인 복지시설 90여 곳 인권 실태 조사
21,kt스카이라이프 2021년 상반기 사랑의 안테나 국민사연 공모
21,발달장애 남녀 백년가약 단계적 탈시설 첫 걸음
21,도레이첨단소재 취약계층 위해 코로나19 감염예방 위생키트 기부
21,오세훈 지하철 시위 멈춰라전장연 장애인 탈시설 해달라
21,kt스카이라이프 상반기 사랑의 안테나 국민사연 공모
21,포스코 장애인 보조기구 지원 복지시설 리모델링
21,kt스카이라이프 사랑의 안테나 국민사연 공모
21,허울뿐인 장애인 의무고용률 공공기관 미준수
22,단독 불법 촬영 혐의 더필름 항소심 첫 공판 6월 9일
22,겨울 거리두기 완화 접종효과 저하 코로나 재확산 위험 요인
22,신규 확진 역대 최다위중증 환자 급증 우려도 나와
22,폭염도 재난 서울시 사회복지시설에 냉방비 7억3500만원 추가 지원
22,장성경찰서 장애인 인권침해 방지 거주시설 점검 실시
22,대장동 핵심 유동규 24일 첫 재판 정인이 사건 양모 26일 항소심 선고 이주의 재판 일정
22,노숙인 쪽방촌 노리는 코로나19 시설주택지원으로 전환해야
22,씨티은행 자립청년 창업 공모전 시상
22,윤희근 경찰청장 임명됐지만  경찰국 내홍 여전 조직 화합 최우선 과제
22,서울25양천구 발달장애인 치매환자 스마트 지킴이 보급 실종자 조기 발견한다
23,지인과 아내 집단 성폭행 후 남편은 소문내겠다 협박도 했다
23,영상진술 위헌 1심 실형 받은 성폭력 계부 원심 깨질까
23,n번방 통로 역할 와치맨 대법원 징역 7년 확정
23,전남친 아기라며 호숫가에 버렸는데 친모 선처 받은 이유
23,예쁘죠 보고 가세요 바지 내리고 음란행위한 30대 집행유예
23,가정집 ip 카메라 해킹수천명 사생활 훔쳐보고 녹화한 20대
23,n번방 통로 역할 와치맨 징역 7년 확정
23,정준영 징역 5년 판결 불복 상고 대법원 간다
23,여중생에 음란영상 보내줘 수차례 요구한 사회복무요원 집행유예
23,n번방 통로 와치맨 징역 7년 실형
24,서울시의회 보건복지위 희망두배 청년통장 사례관리기관 전담인력 고용안정성 전문성 확보 촉구
24,폐쇄 장애인시설 들어가 흉가 체험 방송 유튜버 입건
24,서울시 백신접종 속도낸다 10월까지 18세이상 시민 70 목표
24,대상 마곡 이노파크 준공 식품소재 기술 메카 만든다
24,대기업 회장님 집 뒤뜰에서 꿀벌 키우는 이유는
24,한국에살며 경제대국  성숙한 시민의식은 아직 먼 길
24,박철호 한국건강관리협회 강원도지부 본부장 다음달 1일 취임
24,허리 아파 신검 4급인데 택배 상하차 업무시켜
24,px제품 인터넷서 비싸게 되팔고 병원서 미용목적 수술도
24,건강 래디센 ai기술로 필리핀 결핵퇴치 앞장
25,동거녀 사촌여동생 성폭행 40대 항소심서 절반 넘게 감형
25,포토재활복지 생명구원 사역 도구로 사용해 주신 하나님께 감사
25,동거녀 사촌 여동생 성폭행한 40대 항소심서 감형
25,버림받은 10살 손녀 성폭행 촬영 할아버지는 악마였다
25,직원에게 자녀 숙제까지 부모 찬스 판치는 가족회사
25,협회 빚 떠안고 보조금도 압류장애인 복지시설 존폐위기
25,민관군 합동위 평시 군사법원 폐지안 73개안 권고
25,국제 망신 아베노마스크 보관비 60억 처분에만 33년
25,강동구 시각장애인 전용 쉼터 행복나눔터 조성
25,동거녀 이별통보에성폭행 감금 휘발유 남성 실형
26,아주경제 오늘의 뉴스 종합 도지코인 7일간 25 급등철도노조 손 들어 준 법원
26,송영길 복지는 퍼주기 아냐 사회복지 예산 비중 40까지 늘릴
26,개농장서 장애인 학대 노동착취 의혹 경찰 내사 돌입
26,돈 되니 너도나도 뛰어든다배달원 45만명 역대 최대
26,부영그룹 나눔장터 수익금 장애인 복지시설 기부
26,롯데 영유아 발달진단 치료 2억 지원
26,새마을금고재단 장애인 복지시설에 5000만원 기부
26,롯데 영유아 발달진단 치료에 2억원 지원
26,롯데 영유아 발달진단 치료에 2억 지원
26,롯데 저소득층 영유아 발달진단에 2억
27,고 최숙현 선수 가혹행위 경주시청 팀닥터 2심서 감형 징역 8년7년6월
27,고 최숙현 선수 가혹행위 팀닥터 2심서 감형  징역 7년6개월
27,오후 6시 서울 신규확진 641명 전날보다 14명 감소
27,억지로 먹다 질식사 장애인단체 자기결정권 철저히 무시 당해
27,강선경 사회복지공제회 이사장 사회복지사 봉사인 아닌 전문가로 대우를
27,삼바 올 하반기 채용설명회도 메타버스 방식으로 생생하게
27,ls 아모레 포르셰 벤틀리의 공통점은 꿀벌을 키울까
27,예쁘죠 보고가세요 벤치서 음란행위한 30대 집행유예
27,국민의 기업 연간 520종 문학도서 선정해 2200곳 배포문학나눔 도서보급으로 국민 삶의 질
27,삼성바이오로직스 메타버스 채용설명회 개최
28,우리동네 힐링명소  서울 동작구 용양봉저정 공원 노들섬 한강부터 남산 북한산까지 한눈에
28,코로나 재확산 vs 실내 노마스크 방역 균형 찾는 당정
28,오류 복지시스템 1달 만에 서비스요청 10만 건 접수40만 처리
28,달라이 라마 고향 간 시진핑 속내는 티베트 시위 차단
28,르포병 걸려서 나오면 어떡하나 한파에 코로나까지 혹독한 노숙인의 겨울
28,이영김기문 의기투합 전통시장 찾아 상인 격려태풍 피해 점검
28,아베 마스크 처치 못해 골칫덩이 8300만장 창고서 쿨쿨
28,3인 야간 집합금지 수도권 4단계 12일부터 2주간 종합
28,한국판 터미널 인천공항 노숙인들 이용객 늘며 밀려날 처지
28,분당자생한방병원 지역 어르신 대상 한방 의료봉사 전개
29,온정의 손길이 또다른 기부 불렀다 향림원 기부 결제 취소한 사장님의 문자
29,자살하려던 차에 범행 화장실 몰카 강간 시도범 황당 해명
29,어린이들 목숨 앗아간 총격참사에도 총기 판매 매진글로벌 현장을 가다
29,공약 지켜 기쁘다 의정비 1억7천 전액 복지시설 기부 도의원
29,구은모의 저리이주휘 jj 부대표 자연과 사람 존중하는 양조장으로 기억되길
29,구자은 ls엠트론 회장이 15만 마리 양봉하게 된 사연은
29,자막뉴스 일이수백 명 이용하던 시설 폐업 위기
29,스페셜리포트 반년 앞으로 다가온 키오스크 의무조항준비 정교해야
29,복지부 장애인차별금지법 고쳐 키오스크 음성안내 의무화한다
29,회식하고 사내 복지시설 열고 삼성 lg sk 일상 회복 시동
30,지적장애 가진 친누나 학대해 숨지게 30대 남성 징역 7년6개월
30,체중 80kg28kg 지적장애 누나 학대해 숨지게 30대 징역 7년6개월
30,롯데홈쇼핑 시각장애 아동 위한 음성도서 제작 기부금 전달
30,전주에 장애인 직업훈련센터 이어 장애인 고용 교육연수원도 건립
30,서울시wk뉴딜국민그룹 코로나 취약계층에 마스크 1000만 장 전달
30,obs 뉴스오늘2 공군 해군 이어 육군서도 성폭력
30,해외 배송 괴소포 현재까지 테러 연관성 없다
30,롯데홈쇼핑 음성도서 제작 지원 기부금 전달
30,서울 다중이용시설 25곳서 레지오넬라균 과다 검출
30,롯데홈쇼핑 시각장애아동 위한 음성도서 제작금 전달
31,코로나 재유행에 위중증 환자 다시 500명대 실내 마스크 의무 착용 2단계 해제 가닥
31,변호인도 할 없다 4년간 10살 친손녀 성폭행한 70대
31,148명 확진에 장애인 복지시설 백신 미접종자 추가 접종
31,유광혁 김동철 경기도의원 동두천시 장애인 복지시설 환경개선 논의
31,경남 이틀 연속 100명대 통영 복지시설 폐쇄
31,경기도 경기청년 희망일자리 사업으로 404명에 공공일자리 제공
31,중학생이야 초등생에 접근해 성폭행한 20대 너무나 부끄러워
31,실내마스크 의무 30일부터 해제될 듯오늘 중대본 발표
31,전북 장애인 보호구역 전무 위험의 일상화
31,25일이냐 30일이냐 실내마스크 의무 해제 저울질
32,호흡 명상법 자세교정 특강 핑계로 수강생 10명 성폭행 편입 컨설팅 업체 대표 징역 4년
32,pc방서 여성 다리 훔쳐 본 남성 대법 건조물침입죄는 아냐
32,김부겸 갈등으로 허비할 없어 최저임금 대승적 차원에서 수용해달라
32,술먹고 실수 초등생에 입맞춤한 70대 남성 집행유예
32,비수도권 1단계 적용유흥시설 식당 카페 24시간 활짝
32,누적감염 3000만명 찍고 엔데믹 30일부터 실내 노마스크
32,스카이라이프 하반기 장애인 문화체험 행사 열어
32,대구대에 프랑스식 sw 인재 양성기관 들어선다
32,수화로 소통하는 시장 용인시 코로나 이후 4년만에 장애인의 날 기념식
32,우익 소녀상 전시 앞 위안부 모독 행사 추진 중
33,애경 발달장애인 대상 문화 나눔 행사 제2회 행복 나들이 진행
33,애경산업 발달장애인 대상 문화 나눔 행사 행복 나들이 진행
33,fn사설 마스크 착용 해제는 규제 않고 자율에 맡긴다는 뜻
33,서울 서울시 올해 중장년 사회공헌형 일자리 4755개 창출
33,사회복지종사자 처우 개선 서울시 인건비 인상 휴가제 강화
33,코로나 사각지대 놓인 노숙인 서울시 시설확장 월세지원 확대
33,인천시 사회복지시설 종사자 처우 전국 최고 수준
33,산은 소외계층 돕는 민들레국수집과 요셉의원에 4000만원 후원
33,쿠첸 미혼모 복지시설에 4천만원 상당 주방가전제품 기부
33,추석에도 빈틈없다 서울 강서구 추석 종합대책 가동
34,초등생 미성년 6명과 성관계 몰래 촬영한 20대 죄질 나쁘다면서 징역 3년6월 감형 확정
34,여성 신체 촬영 유포 혐의 종근당 회장 장남 2심서도 집유
34,손녀뻘 초등생 입 맞추고 성추행 70대 1심 집유 이유는
34,본인도 안쓰면서 누구보고 쓰라고 아베마스크 8300만장 창고서 푹푹 썩고
34,9살 때부터 7년 성폭행한 계부 징역 20년
34,고등래퍼 최하민 남아 성추행 혐의 1심서 집행유예
34,제주 학생들에게 정신건강 치료비 원거리 통학비도 지원
34,해마다 100명 사라지는 목숨바다사나이 안전 정부가 챙긴다
34,깁스한 여고생 맨살 만지며 괜찮냐 교사 유죄
34,막다른 골목에 생명 박스 어린 영혼을 구하다
35,80 체중이 28으로 지적장애 누나 묶고 굶겨 죽인 30대
35,체중 8028까지 지적장애 누나 묶고 굶겨 죽인 30대
35,구두라도 닦자 8130만장 남은 아베마스크 사용 후기
35,9살에 부랑인으로 갇혀 가해자 용서할 기회마저 뺏겼다
35,13세 소년에게 중3 여학생인척 30대  악질 성착취
35,px 복지단 부분파업에 영업 중단 우려
35,카드 마땅찮은 전장연지하철 탑승시위는 13일까지 중단
35,지적장애 누나 묶어 굶겨 죽인 동생 정신적으로 무너졌다
35,대기업이 정상출근하니 우리도 하라네요
35,장애인학대 1년새 115 증가  가족 친인척 학대행위 가장 많아
36,전 남친 애라고 영하 날씨 호숫가에 버린 20대 여성 징역 5년형 구형
36,직장 내 여성 장애인 2명 성폭행한 50대 복지시설 직원 징역 8년
36,고백 거절한 유부녀 동료 성폭행 성노예 서약까지 20대 공무원 징역 12년
36,집에 데려다줄게 취한 여직원에 성행위 후 신체 촬영 30대 상사 실형
36,검찰 여성 신체 불법촬영 유포 사진작가 2명 징역 7년 구형
36,유부녀 동료 성폭행 후 성노예 서약서까지 20대 공무원 징역 12년
36,집에 놀러온 6살 손녀 친구 성 착취한 60대 징역 18년
36,20대 친딸 강제 추행한 아버지 법원 징역 5년 선고
36,근무지 내 여성 장애인 2명 성폭행한 인면수심 복지시설 직원
36,유부녀 동료에 고백 거절당하자 성폭행한 20대 공무원 징역 12년
37,장애인 질식사 20대 사회복무요원에 학대치사 유죄에도 집행유예 나머지 4명엔 벌금형
37,esg 리딩금융신한금융 따뜻한 금융 미션 실천 지속 가능한 발전 이룰
37,집 사생활 훔쳐보고 있었다 방범용 팻캠 해킹 7천회 불법촬영
37,휴대전화 카메라로 치마 속 몰래 촬영한 20대 남성
37,현대그룹 1 나눔재단 장애인 복지시설에 3억6000만원 지원
37,토요칼럼 노조 시민단체 언제까지 세금 타먹을 건가
37,반세기 버틴 장애인 체육 요람 폐관 위기
37,30일부터 실내마스크 의무 해제대중교통 병원 제외
37,근로자 4명 중 1명 월급 200만원 된다 배달원 45만명 돌파
37,코로나 3주째 감소  마스크 해제
38,초 고교생 6명과 사귀고 성관계 몰카 찍은 20대 징역 3년 6개월
38,후배 경찰관 집 침입해 강제추행 50대 남성에 징역 4년
38,교사 지망 20대 남성 12세 여아에 나체 사진요구 협박
38,지난 상반기 도 소매업 취업자 16만3천명 감소
38,후배 강제추행해 퇴교당한 육사 생도 징역형 집행유예
38,장애인 복지시설에 독극물 의심 소포3명 이송
38,지방자치 경쟁력 지수 급상승 강서에 일이
38,쿠첸 강남구 취약계층과 수해민에 밥솥 기부
38,비정규직 90 윤석열 주60시간도 반대
38,떡볶이 쑤셔넣은 그날 cctv엔 아들 뺨 때리며 거부
39,올해 2021가지 선행 펼쳤다 pg 한국서도 8억6000만원 상당 제품 기부
39,장애인 가장 많이 겪는 차별은 이동 대중교통 해고 입학거부 사유는
39,27명 노예 자택에 감금시킨 인니 군수 노동 착취하고 고문 일삼아
39,면역강화 영양제도 준비했어요  새울원자력 울주군 장애인주간보호센터 5곳 방역물품 지원
39,단독경찰 구내식당 발길도 뚝 못먹는 식권 강제 구매하는 경찰들
39,울산시 장애인 복지에 1600억 지원 89 증액
39,서용규 광주시의원 장애인 복지시설 국비반납 위기
39,도레이첨단소재 강서구청에 보건용 마스크 기부
39,도레이첨단소재 마스크 항균티슈 강서구청에 기부
39,세월의 시험을 이겨내다 80대 노부부의 아모르 파티 guideposts
40,위중증 환자 석 달 만에 500명대실내마스크 해제 기준 확정
40,성관계 소문낸다 친구와 지적장애 아내 강간한 한심 남편
40,35살 방역 공무원의 죽음 610일 사투 마지막 초라해
40,위중증 석 달 만에 500명대실내마스크 해제 기준 확정
40,해외 발송 우편물 뜯었더니 호흡곤란 마비 조사 중
40,코로나19 3년 만에 실내 마스크 권고로비상에서 일상으로
40,서울역 광장서 비 맞으며 대기한 노숙인 확진자
40,차세대 사회보장정보시스템 통한 첫 정기급여 내일 지급
40,공직선거법 위반 혐의 경찰 최용덕 동두천시장실 압수수색
40,지글지글 끓는 찜통 쪽방 매일매일 폭염과의 사투
